DATAFLOW,AMOUNT_TYP_RN,AUDST,FREQ,LIMIT_RN,REPYEAREND,REPYEARSTART,ST_FACI_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF3,0,2022-07-29,INR,16550000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF3,0,2022-06-17,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF4,0,2022-06-17,INR,493640000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF1,0,2022-06-17,INR,70000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TTL_OUTSTANDING,0,2022-06-17,INR,493710000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF3,0,2022-05-20,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF4,0,2022-05-20,INR,355210000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF1,0,2022-05-20,INR,10090000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TTL_OUTSTANDING,0,2022-05-20,INR,365300000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF3,0,2022-04-22,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF1,0,2022-04-22,INR,1400000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF4,0,2022-04-22,INR,310210000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TTL_OUTSTANDING,0,2022-04-22,INR,311610000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2022,2021,TTL_OUTSTANDING,0,2022-03-25,INR,324120000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2022,2021,TSF3,0,2022-03-25,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2022,2021,TSF4,0,2022-03-25,INR,324010000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2022,2021,TSF1,0,2022-03-25,INR,110000000
